id;code;label;symbol;qudt_unit;conversionoffset;conversionmultiplier;dimensionvector
1;dag/kg;Decagram per kilogram;dag/kg;[MilliGM-PER-KiloGM];;10000;A0E0L0I0M0H0T0D1
2;[pH];pH [pH Units];pH;PH;;;A0E0L0I0M0H0T0D1
3;dm2/m2;Square decimeter per square meter;dm²/m²;[M2-PER-M2];;0,01;A0E0L0I0M0H0T0D1
4;%{volume};Percent by volume;% vol;[M3-PER-M3];;0,01;A0E0L0I0M0H0T1D0
5;Cel;Degree Celsius;°C;DEG_C;;;A0E0L0I0M-1H0T-1D0
6;ug/cm2.min;Microgram per square centimeter per minute;µg/cm²·min;[MicroGM-PER-CentiM2-WK];;1,01E+04;A0E0L0I0M0H1T0D0
7;Bq/kg;Becquerel per kilogram;Bq/kg;BQ-PER-KiloGM;;;A0E0L1I0M0H0T0D0
8;cm;Centimeter;cm;CentiM;;;A0E0L1I0M0H0T-1D0
9;cm/h;Centimeter per hour;cm/h;CentiM-PER-HR;;;A0E0L2I0M0H0T0D0
10;cm2;Square centimeter;cm²;CentiM2;;;A1E0L0I0M-1H0T0D0
11;cmol{+}/kg;Centimole of positive charge per kilogram;cmol(+)/kg;CentiMOL-PER-KiloGM;;;A0E0L0I0M0H0T0D1
12;deg;Degree (plane angle);°;DEG;;;A0E0L0I0M0H0T0D1
13;dS/m;Decisiemens per meter;dS/m;DeciS-PER-M;;;A0E0L0I0M0H0T0D1
14;g/cm2;Gram per square centimeter;g/cm²;GM-PER-CentiM2;;;A0E2L-3I0M-1H0T3D0
15;g/cm3;Gram per cubic centimeter;g/cm³;GM-PER-CentiM3;;;A0E0L-2I0M1H0T0D0
16;g/g;Gram per gram;g/g;GM-PER-GM;;;A0E0L-3I0M1H0T0D0
17;g/kg;Gram per kilogram;g/kg;GM-PER-KiloGM;;;A0E0L0I0M0H0T0D1
18;J/m3.K;Joule per cubic meter per Kelvin;J/m³·K;[J-PER-CentiM3-K];;10000;A0E0L0I0M0H0T0D1
19;kat/g;Katal per gram;kat/g;ENZ;;;A0E0L-1I0M1H0T-1D0
20;kPa;Kilopascal;kPa;KiloPA;;;A1E0L0I0M-1H0T-1D0
21;m;Meter;m;M;;;A0E0L-1I0M1H0T-2D0
22;m/m;Meter per meter (ratio);m/m;[MilliM-PER-M];;1000;A0E0L1I0M0H0T0D0
23;m3/kg;Cubic meter per kilogram;m³/kg;M3-PER-KiloGM;;;A0E0L0I0M0H0T0D1
24;meq/L;Milliequivalent per liter;meq/L;[MilliEQ-PER-HectoGM];;10;A0E0L3I0M-1H0T0D0
25;mg/kg;Milligram per kilogram;mg/kg;MilliGM-PER-KiloGM;;;A1E0L0I0M-1H0T0D0
26;mg/L;Milligram per liter;mg/L;MilliGM-PER-L;;;A0E0L0I0M0H0T0D1
27;mm;Millimeter;mm;MilliM;;;A0E0L-3I0M1H0T0D0
28;mm/m;Millimeter per meter;mm/m;MilliM-PER-M;;;A0E0L1I0M0H0T0D0
29;mmol{+}/kg;Millimole of positive charge per kilogram;mmol(+)/kg;MilliMOL-PER-KiloGM;;;A0E0L0I0M0H0T0D1
30;{count};Count (dimensionless quantity);count;COUNT;;;A1E0L0I0M-1H0T0D0
31;a;Year;a;YR;;;A0E0L-2I0M1H0T-1D0
